,Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Type,Amount,Month,Year
1415,1439,2016-11-08,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,123.0,11,2016
1416,1440,2016-12-08,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,12.3,12,2016
1417,1441,2016-12-08,Faircent,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,12.3,12,2016
1418,1442,2016-12-08,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,127.92,12,2016
1419,1443,2016-12-08,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,4.1,12,2016
1420,1444,2016-12-08,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,0.0,12,2016
1421,1445,2016-08-15,Buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,0.0,8,2016
1422,1446,2016-08-16,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,0.0,8,2016
1423,1447,2016-08-16,OyoRooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,508.4,8,2016
1424,1448,2016-08-16,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,1435.0,8,2016
1425,1449,2016-08-16,Joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,4.1,8,2016
1426,1450,2016-08-16,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,12.3,8,2016
1427,1451,2016-08-16,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,2.05,8,2016
1428,1452,2016-08-16,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,0.0,8,2016
1429,1453,2016-08-17,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal",Seed Funding,3.075,8,2016
1430,1454,2016-08-17,ZiPi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,0.0,8,2016
1431,1455,2016-08-17,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,5.535,8,2016
1432,1456,2016-08-17,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,0.0,8,2016
1433,1457,2016-08-18,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,0.0,8,2016
1434,1458,2016-08-18,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,0.0,8,2016
1435,1459,2016-08-19,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,164.0,8,2016
1436,1460,2016-08-19,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,3.075,8,2016
1437,1461,2016-08-19,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,0.0,8,2016
1438,1462,2016-08-22,Zzungry,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare",Seed Funding,0.0,8,2016
1439,1463,2016-08-22,Puro Wellness,healthcare,"Organic, Natural Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,303.4,8,2016
1440,1464,2016-08-22,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners",Private Equity,0.0,8,2016
1441,1465,2016-08-23,TAC Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,0.0,8,2016
1442,1466,2016-08-23,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,0.82,8,2016
1443,1467,2016-08-23,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,0.0,8,2016
1444,1468,2016-08-23,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,1.64,8,2016
1445,1469,2016-08-24,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,0.0,8,2016
1446,1470,2016-08-24,UnaAcademy,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal, Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,8.2,8,2016
1447,1471,2016-08-24,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,0.82,8,2016
1448,1472,2016-08-24,Guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,4.1,8,2016
1449,1473,2016-08-24,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,0.0,8,2016
1450,1474,2016-08-24,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,4.1,8,2016
1451,1475,2016-08-24,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,7.38,8,2016
1452,1476,2016-08-24,UrbanLadder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,24.6,8,2016
1453,1477,2016-08-24,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,0.0,8,2016
1454,1478,2016-08-25,EngineerBabu,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,0.0,8,2016
1455,1479,2016-08-25,Cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,24.6,8,2016
1456,1480,2016-08-25,WitWorks,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,0.0,8,2016
1457,1481,2016-08-25,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain, Arpan Nagdeve",Seed Funding,0.0,8,2016
1458,1482,2016-08-25,ZoomCar,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,196.8,8,2016
1459,1483,2016-08-26,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,4.1,8,2016
1460,1484,2016-08-26,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,328.0,8,2016
1461,1485,2016-08-26,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,4.51,8,2016
1462,1486,2016-08-26,CrownIt,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,0.0,8,2016
1463,1487,2016-08-29,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,24.6,8,2016
1464,1488,2016-08-29,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,57.4,8,2016
1465,1489,2016-08-29,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,0.0,8,2016
1466,1490,2016-08-29,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,8.2,8,2016
1467,1491,2016-08-29,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,123.0,8,2016
1468,1492,2016-08-30,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network,Seed Funding,1.2218,8,2016
1469,1493,2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta",Seed Funding,0.8528,8,2016
1470,1494,2016-08-30,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,492.0,8,2016
1471,1495,2016-08-30,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,16.4,8,2016
1472,1496,2016-08-30,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge  Ltd,Private Equity,24.6,8,2016
1473,1497,2016-08-30,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,0.0,8,2016
1474,1498,2016-08-31,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,43.46,8,2016
1475,1499,2016-08-31,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,0.0,8,2016
1476,1500,2016-01-07,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,0.0,1,2016
1477,1501,2016-01-07,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,0.0,1,2016
1478,1502,2016-01-07,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,4.1,1,2016
1479,1503,2016-01-07,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,0.0,1,2016
1480,1504,2016-02-07,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,5.74,2,2016
1481,1505,2016-04-07,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,0.0,4,2016
1482,1506,2016-04-07,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,123.0,4,2016
1483,1507,2016-04-07,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,1.64,4,2016
1484,1508,2016-04-07,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,16.4,4,2016
1485,1509,2016-04-07,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,0.0,4,2016
1486,1510,2016-04-07,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,131.2,4,2016
1487,1511,2016-05-07,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund,Private Equity,8.2,5,2016
1488,1512,2016-05-07,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,672.4,5,2016
1489,1513,2016-05-07,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath, Abhishek Jain",Seed Funding,13.94,5,2016
1490,1514,2016-06-07,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge  Ltd,Private Equity,6.068,6,2016
1491,1515,2016-06-07,Donxe2x80x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,2.05,6,2016
1492,1516,2016-06-07,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,2.4354,6,2016
1493,1517,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,16.4,7,2016
1494,1518,2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,8.2,7,2016
1495,1519,2016-07-07,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,0.0,7,2016
1496,1520,2016-07-07,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,0.0,7,2016
1497,1521,2016-08-07,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,0.0,8,2016
1498,1522,2016-08-07,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,15.99,8,2016
1499,1523,2016-11-07,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,49.2,11,2016
1500,1524,2016-11-07,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,28.7,11,2016
1501,1525,2016-11-07,Overcart,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,24.6,11,2016
1502,1526,2016-12-07,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,100.45,12,2016
1503,1527,2016-12-07,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,0.0,12,2016
1504,1528,2016-12-07,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels, Times Internet",Private Equity,0.0,12,2016
1505,1529,2016-12-07,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,0.0,12,2016
1506,1530,2016-12-07,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,0.0,12,2016
1507,1531,2016-07-13,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,41.0,7,2016
1508,1532,2016-07-13,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,0.0,7,2016
1509,1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,4.92,7,2016
1510,1534,2016-07-13,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,11.07,7,2016
1511,1535,2016-07-13,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,0.0,7,2016
1512,1536,2016-07-13,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,41.0,7,2016
1513,1537,2016-07-13,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,0.0,7,2016
1514,1538,2016-07-13,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,0.0,7,2016
1515,1539,2016-07-14,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,3.69,7,2016
1516,1540,2016-07-14,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures",Private Equity,8.774,7,2016
1517,1541,2016-07-14,TransTutors ,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,0.0,7,2016
1518,1542,2016-07-15,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,8.2,7,2016
1519,1543,2016-07-15,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,16.4,7,2016
1520,1544,2016-07-15,BaggOut,eCommerce,Womens Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,0.0,7,2016
1521,1545,2016-07-15,TripShelf,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,2.05,7,2016
1522,1546,2016-07-15,SatvaCart,eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,0.0,7,2016
1523,1547,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,49.2,7,2016
1524,1548,2016-07-18,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,5.33,7,2016
1525,1549,2016-07-18,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,5.33,7,2016
1526,1550,2016-07-18,BlueStone,eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,246.0,7,2016
1527,1551,2016-07-18,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,0.0,7,2016
1528,1552,2016-07-18,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,0.0,7,2016
1529,1553,2016-07-19,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,82.0,7,2016
1530,1554,2016-07-19,Deal4Loans ,Consumer Internet,Loans Comparison platform     (adsbygoogle = window.adsbygoogle || []).push({});,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,123.0,7,2016
1531,1555,2016-07-19,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,8.2,7,2016
1532,1556,2016-07-19,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,2.05,7,2016
1533,1557,2016-07-20,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,8.2,7,2016
1534,1558,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,4.879,7,2016
1535,1559,2016-07-20,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,0.0,7,2016
1536,1560,2016-07-21,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,8.2,7,2016
1537,1561,2016-07-21,AbeRuk,eCommerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,0.0,7,2016
1538,1562,2016-07-21,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,4.879,7,2016
1539,1564,2016-01-06,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,0.0,1,2016
1540,1565,2016-01-06,BRIDGEi2I,Technology,Data Analytics Platform,Bangalore,Edelweiss Private Equity,Private Equity,0.0,1,2016
1541,1566,2016-02-06,Droom,eCommerce,Online marketplace for used automobiles,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,0.0,2,2016
1542,1567,2016-02-06,Visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,0.0,2,2016
1543,1568,2016-02-06,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,8.2,2,2016
1544,1569,2016-02-06,Coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,0.0,2,2016
1545,1570,2016-02-06,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,8.2,2,2016
1546,1571,2016-03-06,iCliniq,Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,0.0,3,2016
1547,1572,2016-03-06,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,0.615,3,2016
1548,1573,2016-03-06,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,16.4,3,2016
1549,1574,2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,3.6736,6,2016
1550,1575,2016-07-06,CueMath,Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,32.8,7,2016
1551,1576,2016-07-06,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,16.4,7,2016
1552,1577,2016-07-06,Intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,0.82,7,2016
1553,1578,2016-07-06,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,188.6,7,2016
1554,1579,2016-07-06,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,8.2,7,2016
1555,1580,2016-08-06,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,8.2,8,2016
1556,1581,2016-08-06,ListUp,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,4.1,8,2016
1557,1582,2016-08-06,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,1.64,8,2016
1558,1583,2016-08-06,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,0.0,8,2016
1559,1584,2016-08-06,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,0.0,8,2016
1560,1585,2016-08-06,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,131.2,8,2016
1561,1586,2016-08-06,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,0.0,8,2016
1562,1587,2016-08-06,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,1.64,8,2016
1563,1588,2016-09-06,Teabox,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,0.0,9,2016
1564,1589,2016-09-06,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,0.0,9,2016
1565,1590,2016-09-06,EPayLater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,16.4,9,2016
1566,1591,2016-10-06,Kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,0.0,10,2016
1567,1592,2016-10-06,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,4.1,10,2016
1568,1593,2016-10-06,Kickstart Jobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,0.0,10,2016
1569,1594,2016-10-06,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,0.0,10,2016
1570,1595,2016-10-06,MadRat Games,Technology,Wearable Gaming Platform,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,0.0,10,2016
1571,1596,2016-11-06,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private Equity,0.0,11,2016
1572,1597,2016-11-06,AutoSense,Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private Equity,0.0,11,2016
1573,1598,2016-11-06,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity,0.0,11,2016
1574,1599,2016-06-13,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,0.0,6,2016
1575,1600,2016-06-13,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,8.2,6,2016
1576,1602,2016-06-14,EdTechReview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Funding,0.0,6,2016
1577,1603,2016-06-14,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital and existing investors,Private Equity,0.0,6,2016
1578,1604,2016-06-14,Gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Funding,0.0,6,2016
1579,1605,2016-06-14,Jivox,Technology,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,49.2,6,2016
1580,1606,2016-06-14,Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,8.2,6,2016
1581,1607,2016-06-14,CureJoy,Consumer Internet,Online Alternative health community platform,Bangalore,Accel Partners India,Private Equity,36.08,6,2016
1582,1608,2016-06-15,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,3.69,6,2016
1583,1609,2016-06-15,GrabOnRent,eCommerce,On-demand product rental marketplace,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,0.0,6,2016
1584,1610,2016-06-16,Diro Labs,Consumer Internet,Contact Management Mobile App,New Delhi,Info Edge  Ltd,Private Equity,3.69,6,2016
1585,1611,2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge  Ltd,Private Equity,4.92,6,2016
1586,1612,2016-06-16,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bangalore,Atul Ingle,Seed Funding,0.0,6,2016
1587,1613,2016-06-16,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,Guy Oseary,Private Equity,0.0,6,2016
1588,1614,2016-06-16,Voonik,eCommerce,Online Womens Fashion Marketplace,Bangalore,Sequoia Capital,Private Equity,164.0,6,2016
1589,1615,2016-06-16,ThinkPhi,Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Funding,0.0,6,2016
1590,1616,2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,98.4,6,2016
